City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,295.89,81,100,10.55,MU,1728571039
1,ushuaia,-54.8,-68.3,279.96,65,75,10.29,AR,1728571041
2,ceelbuur,4.685,46.6176,305.61,38,81,7.21,SO,1728571042
3,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,64,0,3.0,RU,1728571044
4,yellowknife,62.456,-114.3525,273.94,100,75,2.06,CA,1728571046
5,banjarmasin,-3.3244,114.591,300.23,88,98,1.01,ID,1728570808
6,nar'yan-mar,67.6713,53.087,270.49,89,8,5.21,RU,1728571050
7,bethel,41.3712,-73.414,284.76,62,0,2.57,US,1728571052
8,vorkuta,67.5,64.0,265.06,96,10,1.26,RU,1728571053
9,ust-nera,64.5667,143.2,264.68,80,93,1.95,RU,1728571054
10,ruyigi,-3.45,30.3167,294.14,60,81,1.88,BI,1728571056
11,nemuro,43.3236,145.575,285.64,67,100,11.22,JP,1728571057
12,nagqu,31.5,92.0,274.94,86,83,1.81,CN,1728571059
13,iqaluit,63.7506,-68.5145,275.0,80,40,2.06,CA,1728571060
14,hamilton,39.1834,-84.5333,289.77,55,0,3.6,US,1728570956
15,port alfred,-33.5906,26.891,292.69,85,51,5.36,ZA,1728571062
16,east london,-33.0153,27.9116,296.67,73,20,7.72,ZA,1728570958
17,aasiaat,68.7098,-52.8699,271.27,60,6,8.43,GL,1728571065
18,waitangi,-43.9535,-176.5597,280.27,83,71,6.95,NZ,1728571066
19,ribeira grande,38.5167,-28.7,296.91,68,40,12.86,PT,1728571067
20,essaouira,31.5125,-9.77,298.87,73,40,5.14,MA,1728571068
21,albany,42.6001,-73.9662,282.76,67,21,1.34,US,1728570829
22,port-aux-francais,-49.35,70.2167,277.16,97,100,20.34,TF,1728571071
23,blackmans bay,-43.0167,147.3167,283.0,58,62,0.89,AU,1728571072
24,adamstown,-25.066,-130.1015,294.17,85,100,7.29,PN,1728571074
25,christchurch,-43.5333,172.6333,280.34,77,5,3.7,NZ,1728570892
26,ha'il,27.5219,41.6907,307.16,13,0,3.09,SA,1728571076
27,whitehorse,60.7161,-135.0538,274.83,85,100,3.6,CA,1728571077
28,bredasdorp,-34.5322,20.0403,292.09,51,100,8.52,ZA,1728571079
29,namdrik,5.5994,168.1028,301.13,76,24,4.05,MH,1728571080
30,college,64.8569,-147.8028,272.29,93,100,1.54,US,1728571081
31,susuman,62.7833,148.1667,258.51,93,50,0.82,RU,1728570827
32,andergrove,-21.0833,149.1833,295.13,82,0,3.99,AU,1728571084
33,aras-asan,8.8908,126.3033,299.14,87,97,1.49,PH,1728571086
34,margaret river,-33.95,115.0667,287.47,59,35,4.37,AU,1728571088
35,kotel'nich,58.3089,48.348,275.27,70,100,3.29,RU,1728571089
36,grytviken,-54.2811,-36.5092,273.08,92,48,1.28,GS,1728571092
37,avarua,-21.2078,-159.775,296.18,73,75,5.66,CK,1728571093
38,flying fish cove,-10.4217,105.6791,298.97,94,75,4.63,CX,1728571094
39,deir ez-zor,35.3359,40.1408,304.57,12,0,1.77,SY,1728571096
40,talcahuano,-36.7167,-73.1167,283.97,82,75,3.6,CL,1728571020
41,sinop,41.7711,34.8709,288.65,88,26,1.25,TR,1728571098
42,ibipeba,-11.6408,-42.0111,308.08,21,59,4.35,BR,1728571099
43,san antonio de pale,-1.4014,5.6325,298.17,78,61,3.59,GQ,1728571100
44,lubao,14.9167,120.55,298.99,89,96,2.08,PH,1728571102
45,puerto ayora,-0.7393,-90.3518,292.9,95,93,4.02,EC,1728571103
46,corn island,12.1694,-83.0418,301.04,78,94,5.55,NI,1728571104
47,masterton,-40.9597,175.6575,275.91,95,0,1.83,NZ,1728571106
48,bilibino,68.0546,166.4372,259.28,94,79,1.93,RU,1728571107
49,inhambane,-23.865,35.3833,299.14,57,0,3.6,MZ,1728571003
50,sesimbra,38.4445,-9.1015,295.96,68,2,2.91,PT,1728571109
51,mabaruma,8.2,-59.7833,307.41,44,73,2.87,GY,1728571111
52,mount isa,-20.7333,139.5,297.02,9,0,5.14,AU,1728571112
53,qarauyl,48.9451,79.255,288.69,25,7,3.99,KZ,1728571113
54,muroto-misakicho,33.2833,134.15,295.85,64,99,2.7,JP,1728571115
55,abatskoye,56.2875,70.4555,271.85,82,100,6.88,RU,1728571116
56,guerrero negro,27.9769,-114.0611,293.13,84,5,3.02,MX,1728571117
57,afaahiti,-17.75,-149.2833,295.72,89,100,9.07,PF,1728571119
58,salinopolis,-0.6136,-47.3561,302.87,68,43,4.07,BR,1728571120
59,port elizabeth,-33.918,25.5701,292.31,90,75,10.29,ZA,1728571016
60,riberalta,-10.9833,-66.1,300.26,78,75,2.06,BO,1728571123
61,lockwood,45.8191,-108.4149,288.09,41,75,3.09,US,1728571124
62,bardai,11.65,7.2333,304.5,44,31,1.95,NG,1728571125
63,papatowai,-46.5619,169.4708,279.21,92,12,2.55,NZ,1728571126
64,invercargill,-46.4,168.35,278.16,95,22,0.45,NZ,1728571128
65,tarumovka,44.0761,46.5361,290.69,43,100,3.04,RU,1728571129
66,taitung city,22.7583,121.1444,297.21,84,39,4.66,TW,1728571130
67,west helena,34.5507,-90.6418,294.46,45,0,3.43,US,1728571131
68,anadyr,64.75,177.4833,273.43,93,75,4.0,RU,1728571133
69,lihue,21.9789,-159.3672,298.92,73,0,7.2,US,1728571134
70,balmazujvaros,47.6167,21.35,296.25,46,48,5.86,HU,1728571135
71,uray,60.1247,64.7758,270.57,59,6,4.07,RU,1728571136
72,swift current,50.2834,-107.8014,279.6,81,0,8.23,CA,1728571137
73,zhob,31.3411,69.4481,296.53,12,0,3.52,PK,1728571139
74,hithadhoo,-0.6,73.0833,300.58,77,100,8.21,MV,1728571140
75,jamestown,42.097,-79.2353,283.72,70,100,4.12,US,1728571141
76,nova sintra,14.8667,-24.7167,299.67,79,9,10.96,CV,1728571143
77,mil'kovo,55.6078,37.7956,282.21,64,62,3.56,RU,1728571145
78,ust'-ilimsk,58.0006,102.6619,271.59,94,100,2.82,RU,1728571147
79,ad dilam,23.9915,47.1627,306.16,12,0,2.33,SA,1728571148
80,el jadid,33.2549,-8.506,296.07,73,31,4.05,MA,1728571149
81,bolama,11.5833,-15.4667,297.47,89,100,5.72,GW,1728571151
82,saipan,15.1355,145.701,301.54,78,40,3.6,MP,1728571152
83,sodra sandby,56.5667,16.6167,288.09,96,100,5.85,SE,1728571154
84,san salvador de jujuy,-24.1946,-65.2971,288.89,86,100,2.29,AR,1728571150
85,livingston,55.9029,-3.5226,283.09,56,40,4.63,GB,1728571156
86,vilyuysk,63.7553,121.6247,265.08,98,94,0.95,RU,1728571158
87,tura,25.5198,90.2201,296.44,90,14,1.97,IN,1728571159
88,yuzhno-kurilsk,44.0306,145.8556,284.11,70,100,9.61,RU,1728571160
89,kerikeri,-35.2268,173.9474,283.66,88,100,0.89,NZ,1728571161
90,hawaiian paradise park,19.5933,-154.9731,295.31,99,75,2.57,US,1728571163
91,udachny,66.4167,112.4,259.68,100,91,0.91,RU,1728571164
92,georgetown,5.4112,100.3354,300.11,88,40,1.54,MY,1728571150
93,dunedin,-45.8742,170.5036,279.94,78,54,2.75,NZ,1728571167
94,heunghae,36.1125,129.3522,289.38,78,1,1.87,KR,1728571168
95,orchard homes,46.8633,-114.0484,284.23,69,100,2.57,US,1728571170
96,vilyuchinsk,52.9306,158.4028,273.3,71,0,3.35,RU,1728571171
97,uturoa,-16.7333,-151.4333,298.64,78,100,9.97,PF,1728571172
98,leh,34.1667,77.5833,278.09,20,13,2.27,IN,1728571174
99,ballina,-28.8667,153.5667,290.59,81,100,0.16,AU,1728571175
100,massawa,15.6097,39.45,305.73,59,6,2.42,ER,1728571176
101,codrington,-38.2667,141.9667,279.73,87,0,3.47,AU,1728571178
102,ola,59.5833,151.2833,270.84,67,22,2.13,RU,1728571179
103,hammerfest,70.6634,23.6821,278.4,70,20,5.66,NO,1728571180
104,olonkinbyen,70.9221,-8.7187,270.81,79,100,16.93,SJ,1728571182
105,kaliganj,23.4095,89.1402,299.75,86,3,2.29,BD,1728571183
106,hermanus,-34.4187,19.2345,291.37,68,97,8.52,ZA,1728571184
107,valdivia,-39.8142,-73.2459,285.2,79,96,2.18,CL,1728571186
108,sitia,35.2,26.0986,297.41,70,35,1.48,GR,1728571187
109,kone,-21.0595,164.8658,291.18,90,9,1.26,NC,1728571188
110,moroni,-11.7022,43.2551,299.13,77,2,5.34,KM,1728571190
111,jaisalmer,26.9147,70.9181,306.77,14,1,1.89,IN,1728571191
112,peace river,56.2501,-117.286,275.74,95,40,4.12,CA,1728570901
113,vernon,50.2581,-119.2691,279.51,73,82,3.09,CA,1728571194
114,badger,64.8,-147.5333,272.29,93,100,1.54,US,1728571195
115,zhaoyuan,37.3592,120.3964,285.5,75,0,1.46,CN,1728571196
116,vorgashor,67.5833,63.95,264.74,96,10,1.34,RU,1728571198
117,sol'-iletsk,51.1631,54.9918,285.4,56,100,4.91,RU,1728571199
